MachineID,ToolIndex,NumberOfCycle,LifecycleHealth,LifecycleBand,ConditionHealth,ConditionBand,HealthGap,HealthGapState,AnomalyScore,IsAnomaly,DecisionState,EvidenceCount,DecisionConfidence,Evidence,RootCauseDrivers,Recommendation,ActualHealth
CNC-01,2,1,0.918932557106018,HEALTHY,0.7354041337966919,EARLY_WEAR,-0.1835284233093261,CONDITION_WORSE_THAN_LIFECYCLE,-0.0750613192339451,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L1 - mean,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,1.0
CNC-01,2,2,0.9148914217948914,HEALTHY,0.6999987959861755,EARLY_WEAR,-0.2148926258087158,CONDITION_WORSE_THAN_LIFECYCLE,-0.0466371820338751,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L1 - min,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.979591837
CNC-01,2,3,0.913094401359558,HEALTHY,1.0,HEALTHY,0.0869055986404419,CONSISTENT,-0.0195678893358262,False,NORMAL,0,HIGH,,Current - Spindle L1 - mean | Current - Driving axle Y L2 - mean | Current - Driving axle Z L1 - min,Continue normal operation and standard condition monitoring.,0.959183673
CNC-01,2,4,0.8925761580467224,HEALTHY,0.8610535860061646,HEALTHY,-0.0315225720405578,CONSISTENT,-0.0529140452671915,False,NORMAL,0,HIGH,,Current - Driving axle X L3 - kurtosis | Current - Spindle L1 - mean | Current - Driving axle X L2 - kurtosis,Continue normal operation and standard condition monitoring.,0.93877551
CNC-01,2,5,0.8934365510940552,HEALTHY,0.6863119602203369,EARLY_WEAR,-0.2071245908737182,CONDITION_WORSE_THAN_LIFECYCLE,-0.0869882199083282,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L2 - kurtosis | Current - Driving axle X L3 - kurtosis | Current - Driving axle Z L1 - min,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.918367347
CNC-01,2,6,0.8856115937232971,HEALTHY,0.6833502650260925,EARLY_WEAR,-0.2022613286972046,CONDITION_WORSE_THAN_LIFECYCLE,-0.0720183178641708,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.897959184
CNC-01,2,7,0.864134669303894,HEALTHY,0.7676405310630798,HEALTHY,-0.0964941382408142,CONSISTENT,-0.0517136888107515,False,NORMAL,0,HIGH,,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue normal operation and standard condition monitoring.,0.87755102
CNC-01,2,8,0.854907751083374,HEALTHY,0.7644486427307129,HEALTHY,-0.0904591083526611,CONSISTENT,0.0237773378973966,True,WATCH,1,LOW,Electrical-current behaviour is anomalous,Current - Driving axle X L3 - kurtosis | Current - Spindle L1 - mean | Current - Driving axle Z L1 - min,Increase condition monitoring and review electrical-current trends at the next scheduled inspection.,0.857142857
CNC-01,2,9,0.8206374049186707,HEALTHY,0.6358643770217896,EARLY_WEAR,-0.1847730278968811,CONDITION_WORSE_THAN_LIFECYCLE,-0.0858568567235507,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Spindle L1 - mean | Current - Driving axle X L2 - kurtosis,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.836734694
CNC-01,2,10,0.8176212310791016,HEALTHY,0.7549339532852173,HEALTHY,-0.0626872777938842,CONSISTENT,-0.0719557995154017,False,NORMAL,0,HIGH,,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue normal operation and standard condition monitoring.,0.816326531
